loyalty_id,rewards_id,name_id,first_name,middle_initial,last_name,program_id,emp_property_nbr,reward_parent_id,loyalty_program_id,loyalty_program_desc,enrollment_dt,zip_code,country,country_code,address1,address2,address3,address4,city,state_code,state_name,email_address,phone_nbr,phone_type
15bcefc27f1d41fe8c5fce049b642935,6006640000000000,740308994,Joshua746ba,D,Solomon49d1c,4455,2421,6.01E+15,1,BWR,7/12/1994 21:32,75441,UNITED STATES,US,03287 Amy Course,,,,North Carmen,CO,New Hampshire,b3bmelissathompson@example.com,693-774-1631x67911,HOME
d07d32f361f541eda90b4bceac0de63d,6006640000000000,740305527,Joshuaf23a5,D,Diaze7b90,4366,2829,6.01E+15,1,BWR,8/16/2003 3:43,60774,UNITED STATES,US,51141 Timothy Shoal,,,,Jaredview,UT,Nevada,b41foxjoseph@example.com,-4081,HOME
5c371b0e54c74b3a90287653b165ae8e,6006640000000000,740306456,Kimberlye0058,B,Zuniga0c891,78,1468,6.01E+15,1,BWR,10/21/1993 5:29,45386,UNITED STATES,US,03287 Amy Course,,,,Kristiland,NM,Rhode Island,a45melaniewhite@example.net,001-481-909-2877x4917,HOME
8c8969ab48974959861a122778dcdde1,6006640000000000,740306691,Jennifer9895f,D,Benson8ef12,2193,4407,6.01E+15,1,BWR,5/11/2007 15:56,25237,UNITED STATES,US,11114 Raymond Shoals,,,,Kristiberg,MS,Maine,c11oliviawood@example.net,585-837-6839,OFFICE
4b43f46a9d24484a8a3c24eb28415aba,6006640000000000,740307321,Marcb64c6,D,Williamsddded,646,2202,6.01E+15,1,BWR,7/4/1995 21:55,61968,UNITED STATES,US,321 Chris Drive,,,,South Edwardview,MD,Vermont,209michael52@example.com,(976)097-1221,HOME
df1c59090dcd4271aa83b224a1213630,6006640000000000,740308609,Dale206c8,D,Reyes12ecd,1052,1449,6.01E+15,1,BWR,2/22/2001 13:47,67428,UNITED STATES,US,88235 David Drives,,,,East Dakota,NJ,Ohio,416michelle89@example.net,(976)097-1221,HOME
fb20bd555a8a416b8717a2a0d66f9242,6006640000000000,740307824,Melissaeeb06,C,Herreraf1340,3682,2168,6.01E+15,1,BWR,4/23/2010 8:38,17633,UNITED STATES,US,137 Poole Mission Suite 304,,,,South Jennifer,PA,New York,eadlindabryant@example.com,001-030-645-9918x149,HOME
8bc54868429d4f208c19404b0376abd7,6006640000000000,740307635,Adame6779,C,Price9bda7,1520,1634,6.01E+15,1,BWR,9/17/2019 15:46,45386,UNITED STATES,US,3649 Thompson Canyon,,,,Matthewhaven,NV,Texas,0c3tclark@example.net,4169035492,OFFICE
0001ca0784ee449aa486326a18889c6e,6006640000000000,740309889,Maxwell71858,A,Barnesdfae0,3427,2981,6.01E+15,1,BWR,4/17/1994 18:33,19433,UNITED STATES,US,022 Andrade Loop Suite 790,,,,Stephanieshire,NH,South Carolina,a92lori76@example.com,001-763-508-0674x192,HOME
68dd8a7a90584be28de1f2f884af9758,6006640000000000,740305347,Sarad86fb,D,Wang08bdb,2050,3659,6.01E+15,1,BWR,1/14/2005 21:44,5180,UNITED STATES,US,5252 Bailey Plaza,,,,Hardyport,MT,Vermont,6e0josephgeorge@example.net,-4081,OFFICE
c04759eadb804b719a4047c603ee5a3a,6006640000000000,740306173,Joshua56a4c,D,Taylorf1553,1323,4262,6.01E+15,1,BWR,2/7/2001 21:30,55046,UNITED STATES,US,616 James Squares Apt. 556,,,,North Gregorymouth,ND,Maine,153lauren86@example.org,829-021-2768x4600,HOME
05ec03208a744fec982f0ce28438290c,6006640000000000,740306267,Ashley70076,D,Baker18334,3113,2081,6.01E+15,1,BWR,9/24/1994 10:41,68637,UNITED STATES,US,132 Santana Lake,,,,Currystad,HI,New Jersey,c3dqcox@example.org,493.920.5380x174,OFFICE
e86abb82cd504224817f3a2c75c11e03,6006640000000000,740307224,Ray6aa2a,B,Luna16811,509,1973,6.01E+15,1,BWR,5/3/2015 15:12,46968,UNITED STATES,US,7243 Adkins Meadow,,,,South Jennifer,MN,Alaska,4f9shannon73@example.org,001-282-183-4563,OFFICE
4ad00a0943f44c9788e3d9ea33e53bca,6006640000000000,740308846,Christopherfb2e8,C,Carter71c83,1356,4793,6.01E+15,1,BWR,4/9/2013 12:51,80491,UNITED STATES,US,071 Jose Expressway Suite 878,,,,South Edwardview,WA,Delaware,ec2johnsonsuzanne@example.org,199.179.1435,OFFICE
0d71e653f9414b97aceb278d39bcd8c7,6006640000000000,740306306,Jessicae1722,B,Vaughnb2ff4,3162,3095,6.01E+15,1,BWR,7/18/2014 0:44,74156,UNITED STATES,US,45355 Shannon Road Apt. 708,,,,South Edwardview,NC,Ohio,6f4osbornesamantha@example.net,8244543390,OFFICE
0346eb1e266f4a1e8e1a756165e3187e,6006640000000000,740306712,Frederickb1bae,C,Carter71c83,501,5195,6.01E+15,1,BWR,2/15/2010 21:10,30785,UNITED STATES,US,945 Richardson Cove,,,,Thompsonfurt,ME,Delaware,a5ethomasjonathan@example.com,493.920.5380x174,OFFICE
2ff24427c0aa4c96b8c7d77c6f1341be,6006640000000000,740308845,Kristenff63a,A,Case6860a,1079,1110,6.01E+15,1,BWR,10/22/2006 9:04,13136,UNITED STATES,US,071 Jose Expressway Suite 878,,,,Fernandezland,FL,Vermont,e2fjacksontravis@example.net,342.118.3689x14464,HOME
